Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[332 E 71st St](https://www.apartments.com/332-e-71st-st-new-york-ny/n4wprvp/),,"[332 E 71st St, New York, NY 10021](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/332+E+71st+St,+New+York,+NY+10021/data=!4m2!4m1!3e2)",650 Sq Ft,"$2,650",,,Dogs and Cats Allowed,0.9 mi,18 mins,,,,,,,12 Months,,,,,![Primary Photo - 332 E 71st St](https://images1.apartments.com/i2/FQj5EEpaTRC563UGJR_4Nat5aiLYdUCE1vJQS2-L2ts/110/332-e-71st-st-new-york-ny-primary-photo.jpg) ![Building Photo - 332 E 71st St](https://images1.apartments.com/i2/ceyCaQBejywBrwVI9CUHNjRpJSe3aDG3kBmMsuM8AOI/118/332-e-71st-st-new-york-ny-building-photo.jpg) ![Building Photo - 332 E 71st St](https://images1.apartments.com/i2/U0GJoxJ8VUQUTUKGLqHsymh-TCFfYM9ZQGPkrhOZkn8/118/332-e-71st-st-new-york-ny-building-photo.jpg) ![Building Photo - 332 E 71st St](https://images1.apartments.com/i2/hFfADSyRt2BTGezUK_Pk3xPdqM6lCfB7hDTq4VAy22g/118/332-e-71st-st-new-york-ny-building-photo.jpg) ,"NO FEE! Beautiful Gut Renovated Large 1 Bedroom. Featuring: Wide-plank hardwood floors, recessed lighting, granite counter-tops, stainless steel appliances, cherry wood cabinets, crown and baseboard moldings, and a marble bathroom. AVAILABLE IMMEDIATELY!"
[243 E 38th St Unit 4b](https://www.apartments.com/243-e-38th-st-new-york-ny/ejkgvpn/),,"[243 E 38th St, New York, NY 10016](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/243+E+38th+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)",600 Sq Ft,"$2,675",,,Dogs and Cats Allowed,1.2 mi,25 mins,,,,,,,12 Months,,,,,![Primary Photo - 243 E 38th St](https://images1.apartments.com/i2/wtRxzzZldVMI0GPgaJfujphqDaQbZUEbSzwac9Ufg44/110/243-e-38th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 243 E 38th St](https://images1.apartments.com/i2/mW2trgHjIK2UHCNYc967tZ4KVx6XF8hvD18M7F14-GI/118/243-e-38th-st-new-york-ny-building-photo.jpg) ![Building Photo - 243 E 38th St](https://images1.apartments.com/i2/AziKufADKhsrShCaUdXNvL8w_XhZqXu8bWzu9QBK_Y0/118/243-e-38th-st-new-york-ny-building-photo.jpg) ![Building Photo - 243 E 38th St](https://images1.apartments.com/i2/VxfmnndOmSICfJwj_WYBscOt9bgeM6BfP_aiqJn8KN8/118/243-e-38th-st-new-york-ny-building-photo.jpg) ![Building Photo - 243 E 38th St](https://images1.apartments.com/i2/oyfc9LRhP1xVd2U04n4JyG2cigIMz7PcAlrpz-uRCSU/118/243-e-38th-st-new-york-ny-building-photo.jpg) ,Amazing deal in Murray Hill for a large no fee one bedroom. This apartment is super affordable and under market. Large living room and bedroom that easily fits a queen sized bed. Trains and bars are just blocks away. This wont last long. Contact me for a viewing.
[404 E 56th St](https://www.apartments.com/404-e-56th-st-new-york-ny/tretscc/),844-665-5620,"[404 E 56th St, New York, NY 10022](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/404+E+56th+St,+New+York,+NY+10022/data=!4m2!4m1!3e2)",700 Sq Ft,"$2,695",,,Dogs Allowed,0.6 mi,11 mins,,,,,,,12 Month,,,,,![Primary Photo - 404 E 56th St](https://images1.apartments.com/i2/S31HNJw2WriRkv6KsfmhCWFPBzav3nPgb5AXlbyoJU0/110/404-e-56th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 404 E 56th St](https://images1.apartments.com/i2/DZi93a27N9sUOhYT5K4nW_9EWTgCvAZZuEmbcs3i5zQ/118/404-e-56th-st-new-york-ny-building-photo.jpg) ![Building Photo - 404 E 56th St](https://images1.apartments.com/i2/SuskCVhQL_wT1FUa6YtuZG1ljpT8oQ6wotudfa468d0/118/404-e-56th-st-new-york-ny-building-photo.jpg) ![Building Photo - 404 E 56th St](https://images1.apartments.com/i2/3t_Zypl1uIzAeI7g-M52JVmIuNxtzKznjGgC5YIiA10/118/404-e-56th-st-new-york-ny-building-photo.jpg) ![Building Photo - 404 E 56th St](https://images1.apartments.com/i2/LObUtFQP_GIiQL4tPnyg0B3irMNyMbtoBZN440yTM0Q/118/404-e-56th-st-new-york-ny-building-photo.jpg) ![Building Photo - 404 E 56th St](https://images1.apartments.com/i2/z3S11EfrR7GM-XK6lwp8PASKH3Mt-05f6i6XMYOUFTM/118/404-e-56th-st-new-york-ny-building-photo.jpg) ![Building Photo - 404 E 56th St](https://images1.apartments.com/i2/_vPT48pgB-uyiZCkynmMfz0bF3g7rm7SoqMSG2keKbg/118/404-e-56th-st-new-york-ny-building-photo.jpg) ,"True 2 bedroom apt, each br features a separate sleep or storage loft, and can fit a queen bed, dresser, and nightstand.
Separate kitchen featuring a dishwasher and space for a table for three. 
Living room has 11 ft ceilings, hard wood floors, & three windows
Recently updated bathroom vanity
Apt is on ground floor with a courtyard view
Super lives in the building. 
Pet friendly
Prime Location just steps to Columbus Circle, Whole Foods, Subway Hub for 1,A,B,C, & D trains...and just a stone throw away to fabulous bars and restaurants on 9th ave. Contact me to schedule to view 646 409 6447."
[115 E 34th St Unit 705](https://www.apartments.com/115-e-34th-st-new-york-ny/n0tkspm/),844-600-5862,"[115 E 34th St, New York, NY 10016](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/115+E+34th+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)",700 Sq Ft,"$2,695",,,Dogs and Cats Allowed,1.3 mi,27 mins,,,,,,,12 Months,* Laundry Facilities,,,,![Primary Photo - 115 E 34th St](https://images1.apartments.com/i2/q_fbhPVMF0UJHPgfj-UyBHelsY4-kyMcluPYpxZ8tCM/110/115-e-34th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 115 E 34th St](https://images1.apartments.com/i2/rL_KOqqmjBkeBedFZmfoRlCrXILkGwjyyFjPUKkrfw8/118/115-e-34th-st-new-york-ny-building-photo.jpg) ![Building Photo - 115 E 34th St](https://images1.apartments.com/i2/jnBgWAQrIMVxyVQzracPJ-86-qJfHfpPqnhsork-RZY/118/115-e-34th-st-new-york-ny-building-photo.jpg) ![Building Photo - 115 E 34th St](https://images1.apartments.com/i2/FQ3aaoV3_pNCeAO_X4bJDs9JIOJRuYNevQ5HpaJ7frg/118/115-e-34th-st-new-york-ny-building-photo.jpg) ,"This is a gorgeous luxury studio apartment in the heart of Murray Hill. 
This excellent condition unit includes washer / dryer, double paned windows, wooden floors, and high ceilings. 
Building features are full time doorman with 24 hour security, garden, laundry room, rooftop deck, gym, and pets allowed. 
Only 2 minute walk to the 6 train. 
PLEASE CALL Joseph @ 9 1 7 - 8 0 5 - 5 8 8 5 / joseph@opgny.com
Walking distance from Manhattan's most dynamic neighborhoods - East Village, West Village, Union Square, Gramercy Park, Chelsea."
[140 W 55th St Unit 9B](https://www.apartments.com/140-w-55th-st-new-york-ny/r6zw2p3/),929-368-3879,"[140 W 55th St, New York, NY 10019](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/140+W+55th+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)",780 Sq Ft,"$2,699",,,Dogs and Cats Allowed,0.8 mi,17 mins,,,,,,,12 Months,* Laundry Facilities,,,,![Primary Photo - 140 W 55th St](https://images1.apartments.com/i2/EYGiUuEvsGCeTp1fCitwKlYJF4qALNsU-X7emXSwS94/110/140-w-55th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 140 W 55th St](https://images1.apartments.com/i2/6CrMi7daCzxVxamcEhHV4re5u7BFvDduIYdg3onmcqs/118/140-w-55th-st-new-york-ny-building-photo.jpg) ![Building Photo - 140 W 55th St](https://images1.apartments.com/i2/uG_100hiwHTXXSw1ZCOYdkDaz_edLDJkWD0ptGreFBc/118/140-w-55th-st-new-york-ny-building-photo.jpg) ![Building Photo - 140 W 55th St](https://images1.apartments.com/i2/qYG0AHuqvj7eBztrCxfLkR7frKLQvsnbG6ximyUnZEA/118/140-w-55th-st-new-york-ny-building-photo.jpg) ![Building Photo - 140 W 55th St](https://images1.apartments.com/i2/fOIu5LtNmdbLZA54DDzuiDBcd3o-lQVHPGsgqAeKklA/118/140-w-55th-st-new-york-ny-building-photo.jpg) ![Building Photo - 140 W 55th St](https://images1.apartments.com/i2/zTpZ1APd6ulY8tmVxL0Kw3JMpHtW6s8MJQoVpB1RtTY/118/140-w-55th-st-new-york-ny-building-photo.jpg) ,"West 55th between 6th & 7th Ave in Elevator Building with live in super and pet friendly. Brand New One Bedroom currently being GUT RENOVATED so everything will be BRAND NEW! Gorgeous Kitchen with new stainless steel appliances, cabinets and granite counters. Elegant white marble bathroom with all new fixtures. New hardwood floors, doors, hardware, lighting and material all throughout! This space is of great value for price in beautiful location just steps from Central Park South and Columbus Circle! Call, text or email to view and for more details!"
[32 W 71st St Unit 1A](https://www.apartments.com/32-w-71st-st-new-york-ny/wsbs2pl/),,"[32 W 71st St, New York, NY 10023](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/32+W+71st+St,+New+York,+NY+10023/data=!4m2!4m1!3e2)",750 Sq Ft,"$2,750",,,Dogs and Cats Allowed,1.4 mi,28 mins,,,,,,,12 Months,* Laundry Facilities,,,,![Primary Photo - 32 W 71st St](https://images1.apartments.com/i2/C2QQJV3tUlGl_dQnQYUZ6wvjZGXXTXlMUxaM_AZNwCs/110/32-w-71st-st-new-york-ny-primary-photo.jpg) ![Building Photo - 32 W 71st St](https://images1.apartments.com/i2/jw_VxI3SIys-dXygEmsRceo1kd64t14y6HO7B74mrW8/118/32-w-71st-st-new-york-ny-building-photo.jpg) ![Building Photo - 32 W 71st St](https://images1.apartments.com/i2/lpypAuSNohX8EnumpnNZ7YvRPAA0OJCvqVqqzL3jin8/118/32-w-71st-st-new-york-ny-building-photo.jpg) ![Building Photo - 32 W 71st St](https://images1.apartments.com/i2/FkAkCtG6OGz-65WOE4Np3B-Sc1aq2CGW3L8X8LBeomY/118/32-w-71st-st-new-york-ny-building-photo.jpg) ,
[68 W 69th St Unit 2C](https://www.apartments.com/68-w-69th-st-new-york-ny/wv2s06k/),,"[68 W 69th St, New York, NY 10023](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/68+W+69th+St,+New+York,+NY+10023/data=!4m2!4m1!3e2)",725 Sq Ft,"$2,750",,,Dogs and Cats Allowed,1.3 mi,27 mins,,,,,,,12 Months,* Laundry Facilities,,,,![Primary Photo - 68 W 69th St](https://images1.apartments.com/i2/yuOpNVqp4uMZmRIZNGgzKD_0G2UbQmLkQHpqPHwxXsk/110/68-w-69th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 68 W 69th St](https://images1.apartments.com/i2/ULFC_AQI6KFoCs9bU89dIChB670KNqy4ERortnUlARM/118/68-w-69th-st-new-york-ny-building-photo.jpg) ![Building Photo - 68 W 69th St](https://images1.apartments.com/i2/sQgrsrDveJjGFEYPIUF6-OeWSjG5U93skp09fl-vpU8/118/68-w-69th-st-new-york-ny-building-photo.jpg) ,
[402 W 51st St Unit 4E](https://www.apartments.com/402-w-51st-st-new-york-ny/x006bsn/),,"[402 W 51st St, New York, NY 10019](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/402+W+51st+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)",700 Sq Ft,"$2,750",,,Dogs and Cats Allowed,1.4 mi,30 mins,,,,,,,12 Months,,,,,![Primary Photo - 402 W 51st St](https://images1.apartments.com/i2/uEBdhrm_0PdemMnY2RJcCeQpFKS3vTfK40Zbgdg7oWM/110/402-w-51st-st-new-york-ny-primary-photo.jpg) ![Building Photo - 402 W 51st St](https://images1.apartments.com/i2/fKrwRbbyxttjvlyvJ_Jifr71lLts4WYGNMHn9CXH_vw/118/402-w-51st-st-new-york-ny-building-photo.jpg) ![Building Photo - 402 W 51st St](https://images1.apartments.com/i2/ZLuloLA4C6245PkjbcwNbIHbU1jKJmOCgtvkE3pLSYM/118/402-w-51st-st-new-york-ny-building-photo.jpg) ![Building Photo - 402 W 51st St](https://images1.apartments.com/i2/EDDqWLBoyEyH2teoVG2zrrQMUKEOJwI5Zi0A5UgpKfU/118/402-w-51st-st-new-york-ny-building-photo.jpg) ,"large one bedroom in the heart of Midtown. Excellent maintained walk-up building with live-in super, newly renovated apartment offering lots of space and natural light. Amazing price for size and location. Schedule a viewing today!"
[340 E 55th St](https://www.apartments.com/340-e-55th-st-new-york-ny/zx40vlx/),,"[340 E 55th St, New York, NY 10022](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/340+E+55th+St,+New+York,+NY+10022/data=!4m2!4m1!3e2)",610 Sq Ft,"$2,750",,,Dogs and Cats Allowed,0.5 mi,10 mins,,,,,,,12 Months,* Laundry Facilities,,,,![Primary Photo - 340 E 55th St](https://images1.apartments.com/i2/quZbelQCfPYR-kQkn7nKxqt32JS50qodI8EX0qy-zCY/110/340-e-55th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 340 E 55th St](https://images1.apartments.com/i2/bWQolO9YithIbv-IgcLQoct7eOgHcLXn5zR0QTuj-N4/118/340-e-55th-st-new-york-ny-building-photo.jpg) ![Building Photo - 340 E 55th St](https://images1.apartments.com/i2/sRphorojCW18rKxR5DaGYjjd2fTfpzOhmsQghO-2WS4/118/340-e-55th-st-new-york-ny-building-photo.jpg) ![Building Photo - 340 E 55th St](https://images1.apartments.com/i2/kWvKmzDo3Dgm9TcnGbfgHPW1moijzJ_Blu0wNEn3-8E/118/340-e-55th-st-new-york-ny-building-photo.jpg) ![Building Photo - 340 E 55th St](https://images1.apartments.com/i2/uVzJ4-HAWWqXh0Gh0r4PQazzzrrR6pIrqLymSh_Dkkw/118/340-e-55th-st-new-york-ny-building-photo.jpg) ![Building Photo - 340 E 55th St](https://images1.apartments.com/i2/8zsiFwf26j7np8vLEn3AxUHYm8IMbzR83jXRn0Q1IZA/118/340-e-55th-st-new-york-ny-building-photo.jpg) ![Building Photo - 340 E 55th St](https://images1.apartments.com/i2/E67_Yn9uYcSsI3FwdwhqLzyhO9MlbA9tRiOB8sD0W8A/118/340-e-55th-st-new-york-ny-building-photo.jpg) ,"Gorgeous newly renovated one bedroom located in the 50's of Midtown East. Apartment features queen size bedroom, kitchen with white appliances, white cabinetry, living room, tile bath, hardwood floors and ample closet space.
Amenities:
- Elevator
- Laundry
- On-site super
Incentive:
- One month Free
- No Fee
Rent is net effective
Email to schedule a viewing today!"
[412 E 64th St Unit 21](https://www.apartments.com/412-e-64th-st-new-york-ny/knngpr9/),,"[412 E 64th St, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/412+E+64th+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)",600 Sq Ft,"$2,750",,,Dogs and Cats Allowed,0.7 mi,13 mins,,,,,,,12 Months,* Laundry Facilities,,,,![Primary Photo - 412 E 64th St](https://images1.apartments.com/i2/s-JVFkLUtCsHq6lJeYwzEqDL5IuPtI4Z8d_8Todw_mk/110/412-e-64th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 412 E 64th St](https://images1.apartments.com/i2/rZ2gh1RD8c9vR7dnUhqh76eebcYNSsmT2EbT64zbWGE/118/412-e-64th-st-new-york-ny-building-photo.jpg) ![Building Photo - 412 E 64th St](https://images1.apartments.com/i2/xSV5iWfw_n-8i5ETbep-tU4ULNm6YfNjwjBaKg7IAj8/118/412-e-64th-st-new-york-ny-building-photo.jpg) ,
[204 E 66th St](https://www.apartments.com/204-e-66th-st-new-york-ny/frg8dbs/),844-860-6148,"[204 E 66th St, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/204+E+66th+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)",600 Sq Ft,"$2,795",,,Dogs and Cats Allowed,0.4 mi,9 mins,,,,,* Wheelchair Accessible (Rooms),,12 Months,* Laundry Facilities,,,,![Primary Photo - 204 E 66th St](https://images1.apartments.com/i2/qDG4Tv3Eojq6FNnVe7dtWT265aWoVY6RmxyRSyrK_iI/110/204-e-66th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 204 E 66th St](https://images1.apartments.com/i2/t6wfUGBUbKCbEz0ZwzauQ5NXhOkWtgQWNfum3wucl2A/118/204-e-66th-st-new-york-ny-building-photo.jpg) ![Building Photo - 204 E 66th St](https://images1.apartments.com/i2/dN8QBUfMp3mjbAurm3It5t5LE0ndeGIQs-bhH2TG-wo/118/204-e-66th-st-new-york-ny-building-photo.jpg) ![Building Photo - 204 E 66th St](https://images1.apartments.com/i2/1gcPUq5JCkS9S99N0nbrrinJQZudwiwlKzWtRbJbeyM/118/204-e-66th-st-new-york-ny-building-photo.jpg) ,"Bright Spacious 1 bed newly renovated on the upper East Side.
Top Quality Polished hardwood floors, large closet space, all new
appliances and wood cabinets, 
Building has on site Super, Laundry, Gym, Concierge, 
Easy Access to all: the Lex Ave Subway, (66th St), 4,5,6, 
And all shopping and restaurants.
Pets Allowed!
NO FEE!!
Contact: George 917.284.5920
ATMACK REALTY LLC (LIC. REAL ESTATE AGENT"
[140 E 46th St](https://www.apartments.com/140-e-46th-st-new-york-ny/hhbtey3/),929-368-3241,"[140 E 46th St, New York, NY 10017](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/140+E+46th+St,+New+York,+NY+10017/data=!4m2!4m1!3e2)",700 Sq Ft,"$2,799",,,Dogs and Cats Allowed,0.7 mi,14 mins,,,,,,,12 Months,* Laundry Facilities,,,,![Primary Photo - 140 E 46th St](https://images1.apartments.com/i2/6LM4dll_kjB4hXrPcxlwH_-qLXy2TwFVq0VjqhmHaSU/110/140-e-46th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 140 E 46th St](https://images1.apartments.com/i2/-CkQ0Yo0lZXFyQr9sTJsj3lkPMqQSZEEd6Uvgf8pBm0/118/140-e-46th-st-new-york-ny-building-photo.jpg) ![Building Photo - 140 E 46th St](https://images1.apartments.com/i2/n1pJCNwvqk6SXWEUFXUNq6QuFmNqTJu0p6-egYJaTws/118/140-e-46th-st-new-york-ny-building-photo.jpg) ![Building Photo - 140 E 46th St](https://images1.apartments.com/i2/_oR9iyDS4RSrbjCiIjN-MzjYbw3-ARX4MFOKoYNDZD4/118/140-e-46th-st-new-york-ny-building-photo.jpg) ![Building Photo - 140 E 46th St](https://images1.apartments.com/i2/ARH-FtS-i2Z6f0h7OFQb3GHCiUrVsUBMugJZUPU87WM/118/140-e-46th-st-new-york-ny-building-photo.jpg) ,"Pre-War Emil Roth Building
Hardwood Floors
1 bedroom
Renovated
Separate Kitchen with Stainless Steel Appliances and Granite Countertops
Live-in superintendent
Full-time doorman
Laundry Room
Close to Grand Central and Subway 
Contact Jonathan to schedule your showing today!"
[316 E 63rd St Unit 3E](https://www.apartments.com/316-e-63rd-st-new-york-ny/p6s84vs/),,"[316 E 63rd St, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/316+E+63rd+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)",600 Sq Ft,"$2,800",,,Dogs and Cats Allowed,0.5 mi,9 mins,,,,,,,12 Months,* Laundry Facilities,,,,![Primary Photo - 316 E 63rd St](https://images1.apartments.com/i2/-IDSqFrYqLo6UA0AlA9wbpN9E5nDYeIBHyGUBXUhkBM/110/316-e-63rd-st-new-york-ny-primary-photo.jpg) ![Building Photo - 316 E 63rd St](https://images1.apartments.com/i2/RnQGeW2XAal3n957U_48aJC-Xr6S5z7Dx21yJDtGiPo/118/316-e-63rd-st-new-york-ny-building-photo.jpg) ![Building Photo - 316 E 63rd St](https://images1.apartments.com/i2/34qb3gZp-NcIMa65_wr1Ugvb34aNo3KYLfbj6N_CqtQ/118/316-e-63rd-st-new-york-ny-building-photo.jpg) ,"Beautiful 1 Bedroom on the Upper East Side. Features include high ceilings, hardwood floors, modern appliances, dishwasher, microwave, tile bathroom, and plenty of closet space. Near many subway and bus stops. And located close to some of the best restaurants, bars, cafes, music venues, coffee shops, art galleries, boutiques and thrift shops in NYC."
[241 E 58th St](https://www.apartments.com/241-e-58th-st-new-york-ny/0fyrtv2/),,"[241 E 58th St, New York, NY 10022](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/241+E+58th+St,+New+York,+NY+10022/data=!4m2!4m1!3e2)",700 Sq Ft,"$2,800",,,Dogs and Cats Allowed,0.2 mi,5 mins,,,,,,,12 Months,,,,,![Primary Photo - 241 E 58th St](https://images1.apartments.com/i2/NGji_9pFP8qtBnV-t25iCdrQPHfbmLq6sgrFmIGKwBM/110/241-e-58th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 241 E 58th St](https://images1.apartments.com/i2/n2J9WpBYMwJmAu67idPIUPfD--PTP7Dpsg_suOjsMk0/118/241-e-58th-st-new-york-ny-building-photo.jpg) ![Building Photo - 241 E 58th St](https://images1.apartments.com/i2/pKwaqL2VNAGIS2ykZXPgd5RZq2AcUG9S1TCobOSCyrw/118/241-e-58th-st-new-york-ny-building-photo.jpg) ![Building Photo - 241 E 58th St](https://images1.apartments.com/i2/dtozi2ItvZJc02Gl2WtMm0iPpjBavoEdSslAZa4-sII/118/241-e-58th-st-new-york-ny-building-photo.jpg) ,"~Big, bright & renovated 1BR w/terrace~ in the Midtown East, SS kitchen, marble bath, beautiful floors throughout, lots of light, walk-in closets. Elevator. 
*Near park, easy access to public transportation. 
*Call or text me today to schedule a private viewing: Olga 631-605-1477 okrey@bondnewyork.com
If this apartment doesn’t fit your need I certainly have the one that will."
[140 E 46th St Unit 9P](https://www.apartments.com/140-e-46th-st-new-york-ny/850ng03/),844-410-8449,"[140 E 46th St, New York, NY 10017](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/140+E+46th+St,+New+York,+NY+10017/data=!4m2!4m1!3e2)",823 Sq Ft,"$2,800",,,Dogs and Cats Allowed,0.7 mi,14 mins,Garage,,,,,,12 Months,* Laundry Facilities,,,,![Primary Photo - 140 E 46th St](https://images1.apartments.com/i2/OmMebKCeZvEhXznQHEKw-YxGktKB_UIUjk6qZUW5lFc/110/140-e-46th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 140 E 46th St](https://images1.apartments.com/i2/JfWsLpdasAUC1bQdNR5gz_vuvMw2N5v-9bEKncyUGWM/118/140-e-46th-st-new-york-ny-building-photo.jpg) ![Building Photo - 140 E 46th St](https://images1.apartments.com/i2/eXe8v0ZQpXI02hKiyQo8vxfGGJGSJvl4OQ23qvKSsGA/118/140-e-46th-st-new-york-ny-building-photo.jpg) ![Building Photo - 140 E 46th St](https://images1.apartments.com/i2/JoSSE02d2fiQpqwHwNr2U1ARJFIn_FmIUFsGcVfU1_A/118/140-e-46th-st-new-york-ny-building-photo.jpg) ,"XL 1 Bed STUDIO! NO FEE - GRAND CENTRAL LOCATION!
Great Centrally Located Large 1 Bed Renovated Kitchen with Granite Countertops Pre-War Emil Roth Building Hardwood Floors Live-in superintendent Full-time doorman Laundry Room Close to Grand Central and Subway"
[230 E 33rd St](https://www.apartments.com/230-e-33rd-st-new-york-ny/ee9xqqm/),,"[230 E 33rd St, New York, NY 10016](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/230+E+33rd+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)",700 Sq Ft,"$2,800",,,Dogs and Cats Allowed,1.5 mi,29 mins,,,,,* Washer/Dryer,,12 Months,,,,,![Primary Photo - 230 E 33rd St](https://images1.apartments.com/i2/Yb9qclfHTGhBNUvFFbuiMu0DbvWp9Jg4i4nQ80sYOuE/110/230-e-33rd-st-new-york-ny-primary-photo.jpg) ![Building Photo - 230 E 33rd St](https://images1.apartments.com/i2/vuHw8wbbQdun49iQGADJ1dLQfSjSb2HyfkRoT_P6nGQ/118/230-e-33rd-st-new-york-ny-building-photo.jpg) ![Building Photo - 230 E 33rd St](https://images1.apartments.com/i2/sGkxf76s2xVPE7M7mVN-VY_ccXL9QA30ObEXHMoWKmc/118/230-e-33rd-st-new-york-ny-building-photo.jpg) ,"Fully renovated one bedroom, stainless steel appliances, dishwasher, laundry in unit, pets allowed.
Apartment is close to the trains at 33rd and 28th. 
Come check it out today!"
[404 E 63rd St Unit 2](https://www.apartments.com/404-e-63rd-st-new-york-ny/fjfdkss/),973-821-7579,"[404 E 63rd St, New York, NY 10065](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/404+E+63rd+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)",600 Sq Ft,"$2,831",,,Dogs and Cats Allowed,0.6 mi,12 mins,,,,,,,12 Months,,,,,![Primary Photo - 404 E 63rd St](https://images1.apartments.com/i2/WwfW_8XMgabb5mOrfa6z1E5XhDoECBquGblwWESx3K8/110/404-e-63rd-st-new-york-ny-primary-photo.jpg) ![Building Photo - 404 E 63rd St](https://images1.apartments.com/i2/tz8PJEJxnEz6OnwV3Vwk7TyT1PiD_Hvp4nUk-Kne5iw/118/404-e-63rd-st-new-york-ny-building-photo.jpg) ![Building Photo - 404 E 63rd St](https://images1.apartments.com/i2/zXNS-vqiR3OnZhTBtwg96Y4XGXh6lIUJsHviUlUmNXE/118/404-e-63rd-st-new-york-ny-building-photo.jpg) ![Building Photo - 404 E 63rd St](https://images1.apartments.com/i2/nRnjEeKBAJ-Y9UIOPsDUjGlvsxqeBhqz1Sb0g_36Va4/118/404-e-63rd-st-new-york-ny-building-photo.jpg) ![Building Photo - 404 E 63rd St](https://images1.apartments.com/i2/KNmFduPyJ1aRE9q7qzEFgyMxsMelJukmCFtX4sGuv7Y/118/404-e-63rd-st-new-york-ny-building-photo.jpg) ,"Amazing one bedroom with private garden. Beautiful kitchen with custom cabinetry, caesarstone counter-tops, stainless steel appliances including dishwasher and microwave. High ceilings and hardwood floors. Best of all a private garden . With one month free rent (new tenants only) for a lease commencing on or before May 1st. * Contact Yazmin (347)863-9424"
[119 W 69th St Unit 4A](https://www.apartments.com/119-w-69th-st-new-york-ny/wrfs3fl/),,"[119 W 69th St, New York, NY 10023](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/119+W+69th+St,+New+York,+NY+10023/data=!4m2!4m1!3e2)",750 Sq Ft,"$2,850",,,Dogs and Cats Allowed,1.4 mi,29 mins,,,,,,,12 Months,* Laundry Facilities,,,,![Primary Photo - 119 W 69th St](https://images1.apartments.com/i2/pb4hLnCGnF0X0i-HrxdTdgDCMQK_9q4kT80ut6r7Pyw/110/119-w-69th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 119 W 69th St](https://images1.apartments.com/i2/OzsXyJntG3vL1MzN5r0-dsv-sONpnnuGhXX-Krm4Pas/118/119-w-69th-st-new-york-ny-building-photo.jpg) ![Building Photo - 119 W 69th St](https://images1.apartments.com/i2/y5cu-N0EevJIib6LlbvPTSVIiFU47diKAegTJbH1Btk/118/119-w-69th-st-new-york-ny-building-photo.jpg) ,
