Option Name,URL,Contact,Address,Distance,Duration,Map,Pet Policy,Parking,Gym,Kitchen,Amenities,Features,Living Space,Rent,Monthly Fees,One Time Fees,Lease Info,Services,Property Info,Indoor Info,Outdoor Info
350 W 47th St Unit 3C,https://www.apartments.com/350-w-47th-st-new-york-ny/p60gxkr/,844-266-8836,"350 W 47th St, New York, NY 10036","* morning: 1.7 mi
* evening: 1.6 mi","* morning: 16 mins
* evening: 17 mins","https://www.google.com/maps/place/350+W+47th+St,+New+York,+NY+10036",Dogs and Cats Allowed,,,,,,,"$2,395",,,12 Months,,,,
1702 York Ave Unit 4B,https://www.apartments.com/1702-york-ave-new-york-ny/2ydqkvb/,,"1702 York Ave, New York, NY 10128","* morning: 2.1 mi
* evening: 2.0 mi","* morning: 19 mins
* evening: 18 mins","https://www.google.com/maps/place/1702+York+Ave,+New+York,+NY+10128",Dogs and Cats Allowed,,,,,,,"$2,395",,,12 Months,* Laundry Facilities,,,
167 W 85th St Unit 4A,https://www.apartments.com/167-w-85th-st-new-york-ny/bjzef19/,631-721-9854,"167 W 85th St, New York, NY 10024","* morning: 4.5 mi
* evening: 4.6 mi","* morning: 33 mins
* evening: 30 mins","https://www.google.com/maps/place/167+W+85th+St,+New+York,+NY+10024",Dogs and Cats Allowed,,,,,,,"$2,395",,,12 Months,,,,
139 Eldridge St Unit 4,https://www.apartments.com/139-eldridge-st-new-york-ny/12zr226/,,"139 Eldridge St, New York, NY 10002","* morning: 3.8 mi
* evening: 5.2 mi","* morning: 23 mins
* evening: 28 mins","https://www.google.com/maps/place/139+Eldridge+St,+New+York,+NY+10002",Dogs and Cats Allowed,,,,,,,"$2,395",,,12 Months,* Laundry Facilities,,,
97 Steuben St,https://www.apartments.com/97-steuben-st-brooklyn-ny/jzjrd17/,516-342-5784,"97 Steuben St, Brooklyn, NY 11205","* morning: 7.3 mi
* evening: 8.1 mi","* morning: 49 mins
* evening: 51 mins","https://www.google.com/maps/place/97+Steuben+St,+Brooklyn,+NY+11205",Dogs and Cats Allowed,,,,,,,"$2,395",,,12 Months,,,,
96 Steuben St,https://www.apartments.com/96-steuben-st-brooklyn-ny/v564scg/,844-869-7141,"96 Steuben St, Brooklyn, NY 11205","* morning: 7.3 mi
* evening: 8.1 mi","* morning: 49 mins
* evening: 51 mins","https://www.google.com/maps/place/96+Steuben+St,+Brooklyn,+NY+11205",Dogs and Cats Allowed,,,,,,,"$2,395",,,12 Months,,,,
169 W 86th St Unit 4A,https://www.apartments.com/169-w-86th-st-new-york-ny/bxgf3l8/,844-819-3023,"169 W 86th St, New York, NY 10024","* morning: 4.4 mi
* evening: 4.5 mi","* morning: 32 mins
* evening: 29 mins","https://www.google.com/maps/place/169+W+86th+St,+New+York,+NY+10024",Dogs and Cats Allowed,,,,,,,"$2,396",,,12 Months,,,,
326 E 61st St Unit 2rw,https://www.apartments.com/326-e-61st-st-new-york-ny/wd9vq7h/,844-636-5736,"326 E 61st St, New York, NY 10065","* morning: 0.4 mi
* evening: 0.4 mi","* morning: 8 mins
* evening: 8 mins","https://www.google.com/maps/place/326+E+61st+St,+New+York,+NY+10065",Dogs and Cats Allowed,,,,,,,"$2,399",,,12 Months,,,,
167 W 85th St Unit 2A,https://www.apartments.com/167-w-85th-st-new-york-ny/trchvjb/,631-320-5408,"167 W 85th St, New York, NY 10024","* morning: 4.5 mi
* evening: 4.6 mi","* morning: 33 mins
* evening: 30 mins","https://www.google.com/maps/place/167+W+85th+St,+New+York,+NY+10024",Dogs and Cats Allowed,,,,,,,"$2,399",,,12 Months,,,,
253 W 93rd St Unit 4S,https://www.apartments.com/253-w-93rd-st-new-york-ny/q0q7czw/,844-509-7501,"253 W 93rd St, New York, NY 10025","* morning: 5.1 mi
* evening: 4.8 mi","* morning: 30 mins
* evening: 30 mins","https://www.google.com/maps/place/253+W+93rd+St,+New+York,+NY+10025",Dogs and Cats Allowed,,,,,,,"$2,399",,,12 Months,,,,
169 W 85th St Unit 4A,https://www.apartments.com/169-w-85th-st-new-york-ny/hvc52n0/,855-439-3923,"169 W 85th St, New York, NY 10024","* morning: 4.5 mi
* evening: 4.6 mi","* morning: 33 mins
* evening: 30 mins","https://www.google.com/maps/place/169+W+85th+St,+New+York,+NY+10024",Dogs and Cats Allowed,,,,,,,"$2,399",,,12 Months,,,,
Gateway on Hudson,https://www.apartments.com/gateway-on-hudson-weehawken-nj/zg2v3nz/,844-408-8610,"1700 Park Ave, Weehawken, NJ 07086","* morning: 6.2 mi
* evening: 4.7 mi","* morning: 48 mins
* evening: 37 mins","https://www.google.com/maps/place/1700+Park+Ave,+Weehawken,+NJ+07086","Dogs Allowed
Breed Restrictions Apply 
* $50 Fee
* 50 lb Weight Limit
* 2 Pet Limit","Garage
1 space; Assigned Parking.","* Fitness Center
* Cardio Machines
* Free Weights
* Weight Machines
* Pool
* Bike Storage
* Walking/Biking Trails
* Gameroom","* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Eat-in Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer
* Instant Hot Water",* Yoga Room,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Alarm
* Trash Compactor
* Tub/Shower
* Handrails
* Sprinkler System
* Framed Mirrors
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Tile Floors
* Dining Room
* Family Room
* Recreation Room
* Den
* Sunroom
* Views
* Walk-In Closets
* Furnished
* Double Pane Windows
* Window Coverings","$2,400",,"* Application Fee: $40
* Cat Fee: $50
* Dog Fee: $50",Minimum 1 year,"* Package Service
* Maintenance on site
* Property Manager on Site
* Security System
* Concierge
* Courtesy Patrol
* Video Patrol
* 24 Hour Availability
* Furnished Units Available
* Shuttle to Train
* Trash Pickup - Curbside
* Recycling
* Dry Cleaning Service
* Online Services
* Pet Play Area
* Parking Security","* Built in 2015
* 152 Units/10 Stories
* Furnished","* Elevator
* Business Center
* Clubhouse
* Lounge
* Multi Use Room
* Disposal Chutes
* Conference Room
* Corporate Suites
* Two Story Lobby","* Gated
* Fenced Lot
* Sundeck
* Courtyard
* Grill
* Picnic Area
* Waterfront"
512 E 81st St Unit 2A,https://www.apartments.com/512-e-81st-st-new-york-ny/rhmf872/,,"512 E 81st St, New York, NY 10028","* morning: 1.7 mi
* evening: 1.7 mi","* morning: 19 mins
* evening: 20 mins","https://www.google.com/maps/place/512+E+81st+St,+New+York,+NY+10028",Dogs and Cats Allowed,,,,,,,"$2,400",,,12 Months,* Laundry Facilities,,,
389 Washington St Unit 14J,https://www.apartments.com/389-washington-st-jersey-city-nj/0z7bt43/,862-206-4701,"389 Washington St, Jersey City, NJ 07302","* morning: 6.4 mi
* evening: 7.1 mi","* morning: 50 mins
* evening: 43 mins","https://www.google.com/maps/place/389+Washington+St,+Jersey+City,+NJ+07302",Dogs and Cats Allowed,Covered: $225,,,,* Washer/Dryer,,"$2,400",,,12 Months,,,,
379 Graham Ave,https://www.apartments.com/379-graham-ave-brooklyn-ny/s90hbz7/,,"379 Graham Ave, Brooklyn, NY 11211","* morning: 5.6 mi
* evening: 5.5 mi","* morning: 36 mins
* evening: 26 mins","https://www.google.com/maps/place/379+Graham+Ave,+Brooklyn,+NY+11211",Dogs and Cats Allowed,,,,,,,"$2,400",,,12 Months,,,,
70 Dahill Rd,https://www.apartments.com/70-dahill-rd-brooklyn-ny/kqt62db/,844-808-3162,"70 Dahill Rd, Brooklyn, NY 11218","* morning: 11.4 mi
* evening: 11.4 mi","* morning: 45 mins
* evening: 49 mins","https://www.google.com/maps/place/70+Dahill+Rd,+Brooklyn,+NY+11218",Dogs and Cats Allowed,Street,,,,,,"$2,400",,,12 Months,,,,
120 Dahill Rd,https://www.apartments.com/120-dahill-rd-brooklyn-ny/kmcvd08/,516-268-2040,"120 Dahill Rd, Brooklyn, NY 11218","* morning: 11.4 mi
* evening: 11.4 mi","* morning: 45 mins
* evening: 49 mins","https://www.google.com/maps/place/120+Dahill+Rd,+Brooklyn,+NY+11218",Dogs and Cats Allowed,,,,,,,"$2,400",,,12 Months,,,,
77 Prospect Pl,https://www.apartments.com/77-prospect-pl-brooklyn-ny/qjk3lnx/,347-815-2064,"77 Prospect Pl, Brooklyn, NY 11217","* morning: 7.9 mi
* evening: 8.1 mi","* morning: 33 mins
* evening: 35 mins","https://www.google.com/maps/place/77+Prospect+Pl,+Brooklyn,+NY+11217",Dogs and Cats Allowed,,,,,,,"$2,400",,,12 Months,,,,
255 Cumberland St Unit 302,https://www.apartments.com/255-cumberland-st-brooklyn-ny/qg5gwmy/,844-296-5327,"255 Cumberland St, Brooklyn, NY 11205","* morning: 8.1 mi
* evening: 7.7 mi","* morning: 40 mins
* evening: 34 mins","https://www.google.com/maps/place/255+Cumberland+St,+Brooklyn,+NY+11205",Dogs and Cats Allowed,Street,,,,,,"$2,400",,,12 Months,* Laundry Facilities,,,
3312 Hudson Ave Unit 7H,https://www.apartments.com/3312-hudson-ave-union-city-nj/nk3g6mn/,855-576-0658,"3312 Hudson Ave, Union City, NJ 07087","* morning: 5.5 mi
* evening: 5.0 mi","* morning: 32 mins
* evening: 38 mins","https://www.google.com/maps/place/3312+Hudson+Ave,+Union+City,+NJ+07087",Dogs and Cats Allowed,Garage,,,,* Washer/Dryer,,"$2,400",,,12 Months,,,,
151 Mott St,https://www.apartments.com/151-mott-st-new-york-ny/wdh174j/,646-677-4296,"151 Mott St, New York, NY 10013","* morning: 3.6 mi
* evening: 3.6 mi","* morning: 19 mins
* evening: 22 mins","https://www.google.com/maps/place/151+Mott+St,+New+York,+NY+10013",Dogs and Cats Allowed,,,,,,,"$2,400",,,12 Months,,,,
532 E 85th St Unit 4-F,https://www.apartments.com/532-e-85th-st-new-york-ny/m9592tk/,,"532 E 85th St, New York, NY 10028","* morning: 2.0 mi
* evening: 1.9 mi","* morning: 18 mins
* evening: 16 mins","https://www.google.com/maps/place/532+E+85th+St,+New+York,+NY+10028",Dogs and Cats Allowed,,,,,,,"$2,400",,,12 Months,* Laundry Facilities,,,
1384 1st Avenue Unit 12,https://www.apartments.com/1384-1st-avenue-new-york-ny/p5ncpvs/,,"1384 1st Avenue, New York, NY 10021","* morning: 1.5 mi
* evening: 1.1 mi","* morning: 15 mins
* evening: 11 mins","https://www.google.com/maps/place/1384+1st+Avenue,+New+York,+NY+10021",Dogs and Cats Allowed,,,,,,,"$2,400",,,12 Months,* Laundry Facilities,,,
1380 1st Avenue Unit 15,https://www.apartments.com/1380-1st-avenue-new-york-ny/9psfex6/,,"1380 1st Avenue, New York, NY 10021","* morning: 1.5 mi
* evening: 1.0 mi","* morning: 15 mins
* evening: 11 mins","https://www.google.com/maps/place/1380+1st+Avenue,+New+York,+NY+10021",Dogs and Cats Allowed,,,,,,,"$2,400",,,12 Months,* Laundry Facilities,,,
1380 1st Avenue Unit 19,https://www.apartments.com/1380-1st-avenue-new-york-ny/y4h3q5s/,,"1380 1st Avenue, New York, NY 10021","* morning: 1.5 mi
* evening: 1.0 mi","* morning: 15 mins
* evening: 11 mins","https://www.google.com/maps/place/1380+1st+Avenue,+New+York,+NY+10021",Dogs and Cats Allowed,,,,,,,"$2,400",,,12 Months,* Laundry Facilities,,,
1592 2nd Ave Unit 5-FS,https://www.apartments.com/1592-2nd-ave-new-york-ny/7fr0xsy/,,"1592 2nd Ave, New York, NY 10028","* morning: 1.8 mi
* evening: 1.8 mi","* morning: 14 mins
* evening: 14 mins","https://www.google.com/maps/place/1592+2nd+Ave,+New+York,+NY+10028",Dogs and Cats Allowed,,,,,,,"$2,400",,,12 Months,* Laundry Facilities,,,
244 W 22nd St Unit 5C,https://www.apartments.com/244-w-22nd-st-new-york-ny/p7wlpwv/,844-219-1789,"244 W 22nd St, New York, NY 10011","* morning: 3.0 mi
* evening: 3.0 mi","* morning: 20 mins
* evening: 21 mins","https://www.google.com/maps/place/244+W+22nd+St,+New+York,+NY+10011",Dogs and Cats Allowed,,,,,,,"$2,400",,,12 Months,,,,
255 Wyckoff St,https://www.apartments.com/255-wyckoff-st-brooklyn-ny/0bfdbd0/,844-829-3418,"255 Wyckoff St, Brooklyn, NY 11217","* morning: 7.6 mi
* evening: 7.3 mi","* morning: 37 mins
* evening: 33 mins","https://www.google.com/maps/place/255+Wyckoff+St,+Brooklyn,+NY+11217",Dogs and Cats Allowed,,,,,,,"$2,400",,,12 Months,,,,
19 Division St Unit 501,https://www.apartments.com/19-division-st-jersey-city-nj/bcwrfe8/,908-378-8186,"19 Division St, Jersey City, NJ 07302","* morning: 7.1 mi
* evening: 7.0 mi","* morning: 56 mins
* evening: 50 mins","https://www.google.com/maps/place/19+Division+St,+Jersey+City,+NJ+07302",Dogs and Cats Allowed,,,,,* Washer/Dryer,,"$2,400",,,12 Months,,,,
711 2nd Ave Unit 2,https://www.apartments.com/711-2nd-ave-new-york-ny/6539m6s/,844-781-9376,"711 2nd Ave, New York, NY 10016","* morning: 1.4 mi
* evening: 1.4 mi","* morning: 13 mins
* evening: 13 mins","https://www.google.com/maps/place/711+2nd+Ave,+New+York,+NY+10016",Dogs and Cats Allowed,,,,,,,"$2,400",,,12 Months,,,,
10 Grand Ave Unit 2BR,https://www.apartments.com/10-grand-ave-brooklyn-ny/bdhv9p8/,347-991-7755,"10 Grand Ave, Brooklyn, NY 11205","* morning: 7.2 mi
* evening: 7.4 mi","* morning: 48 mins
* evening: 55 mins","https://www.google.com/maps/place/10+Grand+Ave,+Brooklyn,+NY+11205",Dogs and Cats Allowed,,,,,,,"$2,400",,,12 Months,* Laundry Facilities,,,
11 Port Imperial Blvd,https://www.apartments.com/11-port-imperial-blvd-west-new-york-nj/cblk1rg/,,"11 Port Imperial Blvd, West New York, NJ 07093","* morning: 7.0 mi
* evening: 7.0 mi","* morning: 45 mins
* evening: 49 mins","https://www.google.com/maps/place/11+Port+Imperial+Blvd,+West+New+York,+NJ+07093",Dogs and Cats Allowed,,,,,,,"$2,400",,,,,,,
123 River St,https://www.apartments.com/123-river-st-jersey-city-nj/qqf2pex/,,"123 River St, Jersey City, NJ 07302","* morning: 6.9 mi
* evening: 6.8 mi","* morning: 52 mins
* evening: 46 mins","https://www.google.com/maps/place/123+River+St,+Jersey+City,+NJ+07302",Dogs and Cats Allowed,,,,,,,"$2,423",,,,,,,
123 River St,https://www.apartments.com/123-river-st-jersey-city-nj/tdze208/,,"123 River St, Jersey City, NJ 07302","* morning: 6.9 mi
* evening: 6.8 mi","* morning: 52 mins
* evening: 46 mins","https://www.google.com/maps/place/123+River+St,+Jersey+City,+NJ+07302",Dogs and Cats Allowed,,,,,,,"$2,423",,,,,,,
RiverTrace at Port Imperial,https://www.apartments.com/rivertrace-at-port-imperial-west-new-york-nj/1slny17/,201-205-1684,"11 Ave at Port, West New York, NJ 07093","* morning: 7.2 mi
* evening: 14.0 mi","* morning: 47 mins
* evening: 1 hour 21 mins","https://www.google.com/maps/place/11+Ave+at+Port,+West+New+York,+NJ+07093","Dogs Allowed:
Cats and Dogs (Certain Breed Restrictions Apply) $500 Fee Per Pet; $50 Per Pet Per Month (Max 2 pets) * Doggie day care available through P.I. Paws www.pipaws.com 
* $500 Deposit
* $50 Monthly Pet Rent
* $500 Fee",,"* Cardio Machines
* Weight Machines
* Pool
* Playground
* Media Center/Movie Theatre","* Dishwasher
* Granite Countertops
* Stainless Steel Appliances
* Microwave
* Oven
* Range
* Refrigerator","* Bamboo Floors
* Dryer
* Electric Vehicle Charging Station
* Floor - 03rd
* Floor - 04th
* Floor - 05th
* Floor - 06th
* Floor - 07th
* Floor - 08th
* Floor - 09th
* Floor - 10th
* Floor - 11th
* Floor - 12th
* Game Room with Billiards
* Golf Simulator
* Line 14
* Line 21
* Line 23
* Media Lounge and Conference Room
* Movie Theater
* New York City Pool View
* New York City View
* Pet Washing Station
* Pool Courtyard View
* Square Footage Premium
* Stainless steel appliances
* Terrace
* Terraces in select apartments
* View - North East Studio Line
* View - Obstructed North
* View - SE Flrs 10-12
* View - South East
* View - South East Flrs 6-9
* Washer
* Yoga Room","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Satellite TV
* Alarm",* Views,"$2,425 - 3,810","* Cat Rent: $50
* Dog Rent: $50","* Application Fee: $125
* Cat Fee: $500
* Cat Deposit: $500
* Dog Fee: $500
* Dog Deposit: $500",,"* Laundry Facilities
* Maintenance on site
* Property Manager on Site
* Concierge
* LEED Rating","* Built in 2013
* 316 Units/12 Stories
* LEED Certified Silver","* Clubhouse
* Lounge",* Grill
215 W 101st St Unit 1 bed,https://www.apartments.com/215-w-101st-st-new-york-ny/6cg1cbt/,201-373-2452,"215 W 101st St, New York, NY 10025","* morning: 5.1 mi
* evening: 5.4 mi","* morning: 38 mins
* evening: 33 mins","https://www.google.com/maps/place/215+W+101st+St,+New+York,+NY+10025",Dogs and Cats Allowed,,,,,* Washer/Dryer,,"$2,425",,,12 Month,,,,
1477 York Ave Unit 3H,https://www.apartments.com/1477-york-ave-new-york-ny/w69l67k/,844-897-2819,"1477 York Ave, New York, NY 10075","* morning: 1.5 mi
* evening: 1.5 mi","* morning: 15 mins
* evening: 16 mins","https://www.google.com/maps/place/1477+York+Ave,+New+York,+NY+10075",Dogs and Cats Allowed,,,,,,,"$2,425",,,12 Months,* Laundry Facilities,,,
381 S 3rd St Unit 3H,https://www.apartments.com/381-s-3rd-st-brooklyn-ny/y2sm87s/,844-896-1873,"381 S 3rd St, Brooklyn, NY 11211","* morning: 7.2 mi
* evening: 7.0 mi","* morning: 44 mins
* evening: 40 mins","https://www.google.com/maps/place/381+S+3rd+St,+Brooklyn,+NY+11211",Dogs and Cats Allowed,,,,,,,"$2,425",,,12 Months,,,,
182 Prospect Park West Unit 15,https://www.apartments.com/182-prospect-park-west-brooklyn-ny/p08cp8v/,,"182 Prospect Park West, Brooklyn, NY 11215","* morning: 9.9 mi
* evening: 9.9 mi","* morning: 41 mins
* evening: 43 mins","https://www.google.com/maps/place/182+Prospect+Park+West,+Brooklyn,+NY+11215",Dogs and Cats Allowed,,,,,,,"$2,437",,,12 Months,,,,
50 Columbus,https://www.apartments.com/50-columbus-jersey-city-nj/zhf5kgw/,855-256-4779,"50 Christopher Columbus Dr, Jersey City, NJ 07302","* morning: 6.6 mi
* evening: 6.2 mi","* morning: 45 mins
* evening: 40 mins","https://www.google.com/maps/place/50+Christopher+Columbus+Dr,+Jersey+City,+NJ+07302","Dogs and Cats Allowed
No Deposit Required. Please call for breed restrictions. 
* $50 Monthly Pet Rent
* 1 Pet Limit",,"* Fitness Center
* Spa
* Pool
* Playground
* Basketball Court
* Tennis Court","* Dishwasher
* Disposal
* Microwave","* 12 Ft Ceilings*
* 24 hour Emergency Maintenance
* 24 Hour Lobby Attendant
* Apple-wood Cabinets with Brushed Nickel Hardware
* Bike Storage
* Concierge Services Available
* Floor to Ceiling Windows*
* Kisi Keyless Entry
* Mohawk Carpet in Bedrooms
* NYC Skyline Views
* NYC Statue of Liberty Views
* Online Payment System
* Online Resident Portal
* On-Site Dry Cleaner
* Oversized Private Terraces*
* Parquet Floor in Living / Dining Areas
* Pearl Quartz Stone Countertops
* Stainless Steel Appliances","* High Speed Internet Access
* Wi-Fi
* Washer/Dryer
* Washer/Dryer Hookup
* Air Conditioning
* Ceiling Fans
* Alarm",* Walk-In Closets,"$2,440 - 3,095","* Cat Rent: $50
* Dog Rent: $50
* Water, Sewer: Included",* Application Fee: $75,12,"* Laundry Facilities
* Maintenance on site
* Property Manager on Site
* Doorman
* Concierge
* Health Club Discount","* Built in 2007
* 392 Units/36 Stories","* Elevator
* Business Center
* Lounge
* Storage Space",
26-14 Jackson Ave Unit 3d,https://www.apartments.com/26-14-jackson-ave-queens-ny/v58jx4e/,973-587-6579,"26-14 Jackson Ave, Queens, NY 11101","* morning: 2.1 mi
* evening: 2.3 mi","* morning: 14 mins
* evening: 16 mins","https://www.google.com/maps/place/26-14+Jackson+Ave,+Queens,+NY+11101",Dogs and Cats Allowed,,,,,,,"$2,443",,,12 Months,* Laundry Facilities,,,
356 Graham Ave Unit 2,https://www.apartments.com/356-graham-ave-brooklyn-ny/r7v44g2/,914-265-4195,"356 Graham Ave, Brooklyn, NY 11211","* morning: 5.5 mi
* evening: 5.4 mi","* morning: 35 mins
* evening: 24 mins","https://www.google.com/maps/place/356+Graham+Ave,+Brooklyn,+NY+11211",Dogs and Cats Allowed,,,,,,,"$2,449",,,12 Months,,,,
356 Graham Ave Unit 1,https://www.apartments.com/356-graham-ave-brooklyn-ny/tbg6jp9/,201-591-1070,"356 Graham Ave, Brooklyn, NY 11211","* morning: 5.5 mi
* evening: 5.4 mi","* morning: 35 mins
* evening: 24 mins","https://www.google.com/maps/place/356+Graham+Ave,+Brooklyn,+NY+11211",Dogs and Cats Allowed,,,,,,,"$2,449",,,12 Months,,,,
102 Christopher Columbus Dr Unit 1003,https://www.apartments.com/102-christopher-columbus-dr-jersey-city-nj/1zt8dt7/,973-852-3534,"102 Christopher Columbus Dr, Jersey City, NJ 07302","* morning: 6.4 mi
* evening: 6.7 mi","* morning: 42 mins
* evening: 39 mins","https://www.google.com/maps/place/102+Christopher+Columbus+Dr,+Jersey+City,+NJ+07302",Dogs and Cats Allowed,Covered: $250,,,,* Washer/Dryer,,"$2,450",,,12 Months,,,,
1573 York Ave Unit 5,https://www.apartments.com/1573-york-ave-new-york-ny/0czy771/,,"1573 York Ave, New York, NY 10028","* morning: 2.0 mi
* evening: 1.9 mi","* morning: 19 mins
* evening: 16 mins","https://www.google.com/maps/place/1573+York+Ave,+New+York,+NY+10028",Dogs and Cats Allowed,,,,,,,"$2,450",,,12 Months,* Laundry Facilities,,,
355 E 72nd St Unit 3B,https://www.apartments.com/355-e-72nd-st-new-york-ny/wzwtvwk/,,"355 E 72nd St, New York, NY 10021","* morning: 1.1 mi
* evening: 1.0 mi","* morning: 14 mins
* evening: 9 mins","https://www.google.com/maps/place/355+E+72nd+St,+New+York,+NY+10021",Dogs and Cats Allowed,,,,,,,"$2,450",,,12 Months,* Laundry Facilities,,,
356 Graham Ave Unit 3,https://www.apartments.com/356-graham-ave-brooklyn-ny/6xf4yrs/,844-381-3866,"356 Graham Ave, Brooklyn, NY 11211","* morning: 5.5 mi
* evening: 5.4 mi","* morning: 35 mins
* evening: 24 mins","https://www.google.com/maps/place/356+Graham+Ave,+Brooklyn,+NY+11211",Dogs and Cats Allowed,,,,,,,"$2,450",,,12 Months,,,,
315 E 74th St Unit 8,https://www.apartments.com/315-e-74th-st-new-york-ny/9zqs3w4/,844-277-0876,"315 E 74th St, New York, NY 10021","* morning: 1.4 mi
* evening: 1.0 mi","* morning: 12 mins
* evening: 10 mins","https://www.google.com/maps/place/315+E+74th+St,+New+York,+NY+10021",Dogs and Cats Allowed,,,,,,,"$2,450",,,12 Months,,,,
520 E 77th St Unit 3H,https://www.apartments.com/520-e-77th-st-new-york-ny/sk8sp37/,844-738-6957,"520 E 77th St, New York, NY 10021","* morning: 1.5 mi
* evening: 1.5 mi","* morning: 15 mins
* evening: 16 mins","https://www.google.com/maps/place/520+E+77th+St,+New+York,+NY+10021",Dogs and Cats Allowed,,,,,,,"$2,450",,,12 Months,* Laundry Facilities,,,
623 Pavonia Ave,https://www.apartments.com/623-pavonia-ave-jersey-city-nj/rmfpm63/,844-469-6885,"623 Pavonia Ave, Jersey City, NJ 07306","* morning: 8.1 mi
* evening: 8.0 mi","* morning: 49 mins
* evening: 43 mins","https://www.google.com/maps/place/623+Pavonia+Ave,+Jersey+City,+NJ+07306",Dogs and Cats Allowed,,,,,,,"$2,450",,,12 Months,,,,
315 W 74th St,https://www.apartments.com/315-w-74th-st-new-york-ny/3ylgj3g/,973-587-6764,"315 W 74th St, New York, NY 10023","* morning: 4.1 mi
* evening: 3.8 mi","* morning: 31 mins
* evening: 30 mins","https://www.google.com/maps/place/315+W+74th+St,+New+York,+NY+10023",Dogs and Cats Allowed,,,,,,,"$2,450",,,12 Months,,,,
233 Smith St Unit 3,https://www.apartments.com/233-smith-st-brooklyn-ny/7pgv6sy/,844-586-3624,"233 Smith St, Brooklyn, NY 11231","* morning: 7.5 mi
* evening: 7.5 mi","* morning: 34 mins
* evening: 35 mins","https://www.google.com/maps/place/233+Smith+St,+Brooklyn,+NY+11231",Dogs and Cats Allowed,,,,,,,"$2,450",,,12 Months,,,,
163 W 80th St,https://www.apartments.com/163-w-80th-st-new-york-ny/4f94epj/,844-601-9191,"163 W 80th St, New York, NY 10024","* morning: 4.2 mi
* evening: 4.3 mi","* morning: 32 mins
* evening: 29 mins","https://www.google.com/maps/place/163+W+80th+St,+New+York,+NY+10024",Dogs and Cats Allowed,,,,,,,"$2,450",,,12 Months,* Laundry Facilities,,,
2 Prospect Park West Unit 5M,https://www.apartments.com/2-prospect-park-west-brooklyn-ny/5zr3nzp/,855-725-0442,"2 Prospect Park West, Brooklyn, NY 11215","* morning: 8.4 mi
* evening: 8.3 mi","* morning: 36 mins
* evening: 38 mins","https://www.google.com/maps/place/2+Prospect+Park+West,+Brooklyn,+NY+11215",Dogs and Cats Allowed,,,,,,,"$2,450",,,12 Months,* Laundry Facilities,,,
381 S 3rd St Unit 3A,https://www.apartments.com/381-s-3rd-st-brooklyn-ny/qx25y4z/,844-277-5452,"381 S 3rd St, Brooklyn, NY 11211","* morning: 7.2 mi
* evening: 7.0 mi","* morning: 44 mins
* evening: 40 mins","https://www.google.com/maps/place/381+S+3rd+St,+Brooklyn,+NY+11211",Dogs and Cats Allowed,,,,,,,"$2,450",,,12 Months,,,,
124 Bedford Ave,https://www.apartments.com/124-bedford-ave-brooklyn-ny/gkvtbbz/,855-465-4204,"124 Bedford Ave, Brooklyn, NY 11249","* morning: 4.8 mi
* evening: 4.7 mi","* morning: 34 mins
* evening: 26 mins","https://www.google.com/maps/place/124+Bedford+Ave,+Brooklyn,+NY+11249",Dogs and Cats Allowed,,,,,,,"$2,450",,,12 Months,,,,
228 S 3rd St Unit C3,https://www.apartments.com/228-s-3rd-st-brooklyn-ny/nqlj84p/,,"228 S 3rd St, Brooklyn, NY 11211","* morning: 7.0 mi
* evening: 6.7 mi","* morning: 43 mins
* evening: 39 mins","https://www.google.com/maps/place/228+S+3rd+St,+Brooklyn,+NY+11211",Dogs and Cats Allowed,,,,,,,"$2,450",,,12 Months,,,,
233 Smith St,https://www.apartments.com/233-smith-st-brooklyn-ny/72v03zw/,929-358-7596,"233 Smith St, Brooklyn, NY 11231","* morning: 7.5 mi
* evening: 7.5 mi","* morning: 34 mins
* evening: 35 mins","https://www.google.com/maps/place/233+Smith+St,+Brooklyn,+NY+11231",Dogs and Cats Allowed,,,,,,,"$2,450",,,12 Months,,,,
228 S 3rd St Unit c3,https://www.apartments.com/228-s-3rd-st-brooklyn-ny/ym6gq2r/,347-343-3679,"228 S 3rd St, Brooklyn, NY 11211","* morning: 7.0 mi
* evening: 6.7 mi","* morning: 43 mins
* evening: 39 mins","https://www.google.com/maps/place/228+S+3rd+St,+Brooklyn,+NY+11211",Dogs and Cats Allowed,,,,,,,"$2,450",,,12 Months,,,,
381 S 3rd St Unit 3A,https://www.apartments.com/381-s-3rd-st-brooklyn-ny/xkz582q/,681-404-3979,"381 S 3rd St, Brooklyn, NY 11211","* morning: 7.2 mi
* evening: 7.0 mi","* morning: 44 mins
* evening: 40 mins","https://www.google.com/maps/place/381+S+3rd+St,+Brooklyn,+NY+11211",Dogs and Cats Allowed,,,,,,,"$2,450",,,12 Months,,,,
